Bronx Rolling Sales File.  All Sales From August 2015 - July 2016.,,,,,,,,,,,,,,,,,,,,
Sales File as of 8/15/2016  Co-op Sales Files as of 8/12/2016,,,,,,,,,,,,,,,,,,,,
Neighborhood Names and Descriptive Data as of 5/26/2016,,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,2905,28, ,A9,1665 WASHINGTON AVENUE                   ,            ,10457, 1 , -   , 1 ," 4,750 "," 2,619 ",1899,1,A9, -   ,07/08/15
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,2905,28, ,A9,1665 WASHINGTON AVENUE                   ,            ,10457, 1 , -   , 1 ," 4,750 "," 2,619 ",1899,1,A9, -   ,07/08/15
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3035,2, ,S1,441 EAST 178 STREET                      ,            ,10457, 1 , 1 , 2 ," 1,287 "," 2,528 ",1899,1,S1, -   ,18/12/15
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3039,36, ,S1,455 EAST 184 STREET                      ,            ,10458, 1 , 1 , 2 ," 2,500 "," 2,452 ",1910,1,S1, -   ,18/08/15
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3043,55, ,A1,1948 BATHGATE AVENUE                     ,            ,10457, 1 , -   , 1 ," 2,356 "," 2,047 ",1901,1,A1," 220,000 ",22/06/16
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3048,27, ,A1,538 EAST 182 STREET                      ,            ,10457, 1 , -   , 1 ," 1,209 "," 1,048 ",1901,1,A1, -   ,22/03/16
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3053,86, ,S0,2364 WASHINGTON AVENUE                   ,            ,10458, 1 , 2 , 3 ," 1,911 "," 4,080 ",1931,1,S0, -   ,17/03/16
2,BATHGATE                 ,01  ONE FAMILY DWELLINGS                    ,1,3053,102, ,A1,2329 BASSFORD AVENUE                     ,            ,10458, 1 , -   , 1 , 919 ," 1,248 ",1901,1,A1, -   ,19/01/16
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2900,61, ,S2,406 EAST TREMONT AVENUE                  ,            ,10457, 2 , 1 , 3 ," 1,855 "," 4,452 ",1931,1,S2," 399,000 ",24/02/16
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2912,117, ,B1,1538 WASHINGTON AVENUE                   ,            ,10457, 2 , -   , 2 ," 2,000 "," 2,400 ",1993,1,B1," 493,000 ",13/04/16
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2912,118, ,B1,1540 WASHINGTON AVENUE                   ,            ,10457, 2 , -   , 2 ," 2,000 "," 2,400 ",1993,1,B1, -   ,12/12/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2912,139, ,B1,3823 3 AVENUE                            ,            ,10457, 2 , -   , 2 ," 2,000 "," 2,400 ",1993,1,B1," 430,000 ",04/08/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2929,126, ,B1,1557 FULTON AVENUE                       ,            ,10457, 2 , -   , 2 ," 3,165 "," 2,394 ",1995,1,B1," 505,000 ",05/08/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2929,137, ,B1,541 CLAREMONT PARKWAY                    ,            ,10457, 2 , -   , 2 ," 3,664 "," 2,394 ",1995,1,B1," 470,000 ",20/07/16
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3030,149, ,S2,2260 WEBSTER AVENUE                      ,            ,10457, 2 , 1 , 3 ," 1,620 "," 3,240 ",1931,1,S2," 550,000 ",11/03/16
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3030,151, ,S2,2264 WEBSTER AVENUE                      ,            ,10457, 2 , 1 , 3 ," 1,620 "," 3,240 ",1931,1,S2," 490,000 ",28/09/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3030,202, ,B3,4465 PARK AVE                            ,            ,10457, 2 , -   , 2 ," 1,569 "," 1,497 ",1899,1,B3," 1,000 ",28/12/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3030,202, ,B3,4465 PARK AVE                            ,            ,10457, 2 , -   , 2 ," 1,569 "," 1,497 ",1899,1,B3," 1,000 ",20/10/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3030,203, ,B3,4461 PARK AVENUE                         ,            ,10457, 2 , -   , 2 ," 1,592 "," 1,860 ",1899,1,B3," 100,000 ",20/08/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3035,140, ,B1,1983 WASHINGTON AVENUE                   ,            ,10457, 2 , -   , 2 ," 4,124 "," 2,340 ",1998,1,B1," 228,000 ",16/11/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3039,6, ,B1,440 EAST 185 STREET                      ,            ,10458, 2 , -   , 2 ," 1,500 "," 2,400 ",1997,1,B1," 422,500 ",10/06/16
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3039,30, ,B1,469B EAST 184 STREET                     ,            ,10458, 2 , -   , 2 , 741 ," 2,133 ",2006,1,B1, -   ,13/10/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3039,30, ,B1,469B EAST 184 STREET                     ,            ,10458, 2 , -   , 2 , 741 ," 2,133 ",2006,1,B1," 311,298 ",11/09/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3039,42, ,B1,440 EAST 186 STREET                      ,            ,10458, 2 , -   , 2 ," 2,000 "," 2,112 ",1901,1,B1, -   ,30/06/16
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3045,4, ,B1,2034 BATHGATE AVENUE                     ,            ,10457, 2 , -   , 2 ," 1,575 "," 1,710 ",1998,1,B1, -   ,09/09/15
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3046,7, ,B2,2038 WASHINGTON AVENUE                   ,            ,10457, 2 , -   , 2 ," 3,732 "," 2,901 ",2000,1,B2, -   ,13/04/16
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3048,29, ,S2,542 EAST 182 STREET                      ,            ,10457, 2 , 1 , 3 ," 1,612 "," 2,778 ",1901,1,S2, -   ,22/03/16
