Staten Island Rolling Sales File.  All Sales From August 2015 - July 2016.,,,,,,,,,,,,,,,,,,,,
Sales File as of 8/15/2016  Co-op Sales Files as of 8/12/2016,,,,,,,,,,,,,,,,,,,,
Neighborhood Names and Descriptive Data as of 5/26/2016,,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5391,9, ,A5,4726 AMBOY ROAD                          ,            ,10312, 1 , -   , 1 ," 3,067 ", 910 ,2002,1,A5," 520,000 ",21/04/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5394,4, ,A2,26 FINGAL STREET                         ,            ,10312, 1 , -   , 1 ," 13,406 "," 4,180 ",1982,1,A2," 1,199,000 ",26/08/15
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5395,15, ,A1,10 EDWIN STREET                          ,            ,10312, 1 , -   , 1 ," 7,000 "," 2,200 ",1980,1,A1, 10 ,21/04/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5397,51, ,A1,23 EYLANDT STREET                        ,            ,10312, 1 , -   , 1 ," 10,120 "," 3,000 ",1985,1,A1," 955,000 ",18/12/15
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5399,26, ,A1,235 KOCH BOULEVARD                       ,            ,10312, 1 , -   , 1 ," 9,555 "," 1,528 ",1960,1,A1, -   ,11/02/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5401,5, ,A2,28 JANSEN STREET                         ,            ,10312, 1 , -   , 1 ," 10,800 "," 2,164 ",1980,1,A2, -   ,01/12/15
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5401,33, ,A1,17 WEAVER STREET                         ,            ,10312, 1 , -   , 1 ," 11,000 "," 3,214 ",1980,1,A1," 915,000 ",15/01/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5404,46, ,A1,119 LENZIE STREET                        ,            ,10312, 1 , -   , 1 ," 8,000 "," 3,660 ",1998,1,A1, -   ,16/09/15
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5405,47, ,A2,369 HAROLD AVENUE                        ,            ,10312, 1 , -   , 1 ," 9,800 "," 1,785 ",1980,1,A2, -   ,11/01/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5406,36, ,A1,107 ELMBANK STREET                       ,            ,10312, 1 , -   , 1 ," 2,500 "," 1,200 ",1999,1,A1," 480,800 ",18/09/15
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5406,37, ,A1,111 ELMBANK STREET                       ,            ,10312, 1 , -   , 1 ," 2,500 "," 1,200 ",1999,1,A1," 520,000 ",25/03/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5425,45, ,A1,37 SANDGAP STREET                        ,            ,10312, 1 , -   , 1 ," 5,000 "," 1,483 ",1910,1,A1," 365,000 ",15/12/15
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,14, ,A5,97 EAGAN AVENUE                          ,            ,10312, 1 , -   , 1 ," 1,845 "," 1,854 ",1986,1,A5," 383,000 ",18/11/15
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,29, ,A5,69 EAGAN AVENUE                          ,            ,10312, 1 , -   , 1 ," 1,546 "," 1,579 ",1986,1,A5, -   ,14/12/15
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,34, ,A5,57 EAGAN AVENUE                          ,            ,10312, 1 , -   , 1 ," 1,546 "," 1,579 ",1986,1,A5, -   ,27/08/15
