Manhattan Rolling Sales File.  All Sales From March 2016 - February 2017.,,,,,,,,,,,,,,,,,,,,
Sales File as of 3/9/2017  Co-op Sales Files as of 3/10/2017,,,,,,,,,,,,,,,,,,,,
Neighborhood Names and Descriptive Data as of 1/6/2017,,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
1,ALPHABET CITY            ,03  THREE FAMILY DWELLINGS                  ,1,376,24, ,C0,264 EAST 7TH   STREET                    ,            ,10009, 3 , -   , 3 ," 2,059 "," 3,696 ",1900,1,C0," 7,738,700 ",22/12/16
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,385,2, ,C7,21 AVENUE B                              ,            ,10009, 12 , 4 , 16 ," 4,186 "," 10,588 ",1900,2,C7, -   ,10/03/16
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,389,53, ,C1,615 EAST 6TH   STREET                    ,            ,10009, 10 , -   , 10 ," 2,271 "," 7,860 ",1939,2,C1," 6,350,000 ",20/04/16
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,399,26, ,C7,234 EAST 4TH   STREET                    ,            ,10009, 28 , 3 , 31 ," 4,616 "," 18,690 ",1900,2,C7, -   ,14/12/16
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,399,39, ,C7,197 EAST 3RD   STREET                    ,            ,10009, 16 , 1 , 17 ," 2,212 "," 7,803 ",1900,2,C7, -   ,09/12/16
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,399,39, ,C7,197 EAST 3RD STREET                      ,            ,10009, 16 , 1 , 17 ," 2,212 "," 7,803 ",1900,2,C7," 6,300,000 ",04/08/16
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,400,61, ,C7,193 EAST 4TH   STREET                    ,            ,10009, 11 , 1 , 12 ," 2,388 "," 8,045 ",1900,2,C7, -   ,23/03/16
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,401,27, ,C4,534 EAST 6TH   STREET                    ,            ,10009, 8 , 1 , 9 ," 1,896 "," 5,876 ",1900,2,C4," 5,650,000 ",20/04/16
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,402,21, ,C4,154 EAST 7TH STREET                      ,            ,10009, 10 , -   , 10 ," 2,272 "," 6,794 ",1913,2,C4," 3,936,272 ",23/09/16
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2,404,17, ,C7,526 EAST 11TH   STREET                   ,            ,10009, 18 , 2 , 20 ," 2,614 "," 9,140 ",1900,2,C7, -   ,19/08/16
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,404,41, ,C4,329 EAST 10TH   STREET                   ,            ,10009, 10 , -   , 10 ," 2,369 "," 7,100 ",1910,2,C4," 11,400,000 ",20/06/16
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2A,404,55, ,C2,301 EAST 10TH   STREET                   ,            ,10009, 6 , -   , 6 ," 2,369 "," 4,615 ",1900,2,C2," 8,000,000 ",17/11/16
1,ALPHABET CITY            ,07  RENTALS - WALKUP APARTMENTS             ,2B,406,32, ,C4,210 AVENUE B                             ,            ,10009, 8 , -   , 8 ," 1,750 "," 4,226 ",1920,2,C4," 3,192,840 ",23/09/16
1,ALPHABET CITY            ,08  RENTALS - ELEVATOR APARTMENTS           ,2,387,153, ,D9,629 EAST 5TH STREET                      ,            ,10009, 24 , -   , 24 ," 4,489 "," 18,523 ",1920,2,D9," 16,232,000 ",07/11/16
1,ALPHABET CITY            ,08  RENTALS - ELEVATOR APARTMENTS           ,2B,400,21, ,D1,530-532 EAST 5TH STREET                  ,            ,10009, 10 , -   , 10 ," 3,717 "," 12,350 ",2009,2,D1," 10,350,000 ",17/10/16
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,373,40, ,C6,"327 EAST 3RD   STREET, 3E                ",            ,10009, -   , -   , -   , -   , -   ,1920,2,C6," 390,000 ",16/06/16
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,373,49, ,C6,"311 EAST 3RD STREET, 17                  ",            ,10009, -   , -   , -   , -   , -   ,1920,2,C6," 450,000 ",01/09/16
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2C,374,8, ,C6,"702 EAST 5TH STREET, 5E                  ",            ,10009, -   , -   , -   , -   , -   ,1900,2,C6, -   ,07/09/16
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,375,30, ,C6,"742 EAST 6TH STREET, 3                   ",            ,10009, -   , -   , -   , -   , -   ,1902,2,C6, -   ,22/08/16
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,376,16, ,C6,"248 EAST 7TH STREET, 15/16               ",            ,10009, -   , -   , -   , -   , -   ,1928,2,C6," 995,000 ",26/08/16
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,376,16, ,C6,"248 EAST 7TH STREET, 24                  ",            ,10009, -   , -   , -   , -   , -   ,1928,2,C6," 350,000 ",30/01/17
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2C,377,60, ,C6,"255 EAST 7TH STREET, 3F                  ",            ,10009, -   , -   , -   , -   , -   ,1900,2,C6," 866,000 ",09/01/17
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,377,62, ,C6,"249 EAST 7TH STREET, 18                  ",            ,10009, -   , -   , -   , -   , -   ,2001,2,C6," 410,000 ",28/04/16
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,379,15, ,C6,"412-414 EAST 10 STREET, 3D               ",            ,10009, -   , -   , -   , -   , -   ,1930,2,C6," 418,000 ",18/08/16
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,386,20, ,C6,"268 EAST 4TH STREET, 4AB                 ",            ,10009, -   , -   , -   , -   , -   ,1923,2,C6," 667,500 ",22/06/16
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,389,17, ,C6,"198 EAST 7TH STREET, 2                   ",            ,10009, -   , -   , -   , -   , -   ,1930,2,C6," 139,659 ",11/04/16
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,389,21, ,C6,"206 EAST 7 STREET, 1                     ",            ,10009, -   , -   , -   , -   , -   ,1900,2,C6," 90,000 ",31/03/16
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2C,389,48, ,C6,"625 EAST 6TH STREET, 1B                  ",            ,10009, -   , -   , -   , -   , -   ,1910,2,C6," 675,000 ",30/06/16
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2C,389,50, ,C6,"621 EAST 6TH   STREET, 3                 ",            ,10009, -   , -   , -   , -   , -   ,1920,2,C6," 400,000 ",06/05/16
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2C,389,50, ,C6,"621 EAST 6TH STREET, 6                   ",            ,10009, -   , -   , -   , -   , -   ,1920,2,C6," 450,000 ",02/12/16
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2C,389,50, ,C6,"621 EAST 6TH STREET, 10                  ",            ,10009, -   , -   , -   , -   , -   ,1920,2,C6," 450,000 ",31/01/17
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,389,54, ,C6,"613 E 6TH ST, 5A                         ",            ,10009, -   , -   , -   , -   , -   ,1920,2,C6," 855,000 ",18/03/16
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,390,55, ,C6,"199 EAST 7TH STREET, 4C                  ",            ,10009, -   , -   , -   , -   , -   ,1935,2,C6," 646,588 ",13/05/16
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,391,14, ,C6,"616 EAST 9TH STREET, 4W                  ",            ,10009, -   , -   , -   , -   , -   ,1910,2,C6, -   ,07/12/16
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,391,20, ,C6,"626 EAST 9TH STREET, 4R                  ",            ,10009, -   , -   , -   , -   , -   ,1910,2,C6," 650,000 ",12/04/16
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2C,392,36, ,C6,"149 AVENUE C, GRFLR                      ",            ,10009, -   , -   , -   , -   , -   ,1900,2,C6," 370,000 ",23/08/16
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,394,52, ,C6,"633 E. 11TH STREET, 7                    ",            ,10009, -   , -   , -   , -   , -   ,1937,2,C6," 372,340 ",04/04/16
1,ALPHABET CITY            ,09  COOPS - WALKUP APARTMENTS               ,2,394,52, ,C6,"633 EAST 11TH STREET, 12                 ",            ,10009, -   , -   , -   , -   , -   ,1937,2,C6," 512,000 ",17/01/17
