Staten Island Rolling Sales File.  All Sales From March 2016 - February 2017.,,,,,,,,,,,,,,,,,,,,
Sales File as of 3/9/2017  Co-op Sales Files as of 3/10/2017,,,,,,,,,,,,,,,,,,,,
Neighborhood Names and Descriptive Data as of 1/6/2017,,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5391,9, ,A5,4726 AMBOY ROAD                          ,            ,10312, 1 , -   , 1 ," 3,067 ", 910 ,2002,1,A5,"520,000",21/04/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5391,30, ,A1,1306 ARDEN AVENUE                        ,            ,10312, 1 , -   , 1 ," 7,500 "," 1,890 ",1952,1,A1,0,04/05/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5395,15, ,A1,10 EDWIN STREET                          ,            ,10312, 1 , -   , 1 ," 7,000 "," 2,200 ",1980,1,A1,10,21/04/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5397,60, ,A1,33 EYLANDT STREET                        ,            ,10312, 1 , -   , 1 ," 10,120 "," 3,516 ",1984,1,A1,0,10/08/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5406,37, ,A1,111 ELMBANK STREET                       ,            ,10312, 1 , -   , 1 ," 2,500 "," 1,200 ",1999,1,A1,"520,000",25/03/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,5408,7, ,A2,192 BATHGATE STREET                      ,            ,10312, 1 , -   , 1 ," 2,500 ", 572 ,1930,1,A2,"290,000",02/09/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6205,24, ,A5,79 EAGAN AVENUE                          ,            ,10312, 1 , -   , 1 ," 1,845 "," 1,854 ",1986,1,A5,"425,000",29/07/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6209,69, ,A5,195 MOSELY AVENUE                        ,            ,10312, 1 , -   , 1 ," 2,665 "," 1,592 ",2007,1,A5,"579,000",21/11/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6211,4, ,A5,35 EAGAN AVENUE                          ,            ,10312, 1 , -   , 1 ," 1,508 "," 1,521 ",1986,1,A5,0,25/07/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6211,15, ,A5,17 EAGAN AVENUE                          ,            ,10312, 1 , -   , 1 ," 1,508 "," 1,521 ",1986,1,A5,"370,000",14/10/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6212,47, ,A5,42 LUCY LOOP                             ,            ,10312, 1 , -   , 1 ," 2,700 "," 1,500 ",2000,1,A5,0,18/10/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6212,50, ,A5,36 LUCY LOOP                             ,            ,10312, 1 , -   , 1 ," 2,870 "," 1,500 ",2000,1,A5,"470,000",06/05/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6212,59, ,A5,91 LORRAINE AVENUE                       ,            ,10312, 1 , -   , 1 ," 1,650 "," 1,548 ",2005,1,A5,"468,000",07/09/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6212,154, ,A1,121 JEANNETTE AVENUE                     ,            ,10312, 1 , -   , 1 ," 4,300 "," 2,500 ",2000,1,A1,"750,000",05/07/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6214,35, ,A5,54 EAGAN AVENUE                          ,            ,10312, 1 , -   , 1 ," 2,400 "," 1,368 ",2000,1,A5,0,03/01/17
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6215,35, ,A1,124 FABIAN STREET                        ,            ,10312, 1 , -   , 1 ," 7,500 "," 2,864 ",1965,1,A1,"685,000",18/10/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6216,33, ,A5,10 EAGAN AVENUE                          ,            ,10312, 1 , -   , 1 ," 2,333 "," 1,515 ",1994,1,A5,"372,500",27/05/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6216,35, ,A5,14 EAGAN AVENUE                          ,            ,10312, 1 , -   , 1 ," 1,333 "," 1,515 ",1994,1,A5,"413,000",09/09/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6216,43, ,A5,123 MOSELY AVENUE                        ,            ,10312, 1 , -   , 1 ," 2,500 "," 1,472 ",2001,1,A5,0,16/02/17
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6216,46, ,A5,115 MOSELY AVENUE                        ,            ,10312, 1 , -   , 1 ," 2,500 "," 1,472 ",2001,1,A5,0,28/06/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6219,6, ,A5,68 LORRAINE AVENUE                       ,            ,10312, 1 , -   , 1 ," 2,584 "," 1,700 ",2004,1,A5,"507,500",13/01/17
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6219,19, ,A5,59 ENDVIEW STREET                        ,            ,10312, 1 , -   , 1 ," 1,759 "," 1,700 ",2004,1,A5,"529,000",09/01/17
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6219,20, ,A5,57 ENDVIEW STREET                        ,            ,10312, 1 , -   , 1 ," 1,759 "," 1,700 ",2004,1,A5,"512,900",06/10/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6219,22, ,A5,53 ENDVIEW STREET                        ,            ,10312, 1 , -   , 1 ," 1,759 "," 1,700 ",2004,1,A5,"483,000",30/06/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6219,23, ,A5,51 ENDVIEW STREET                        ,            ,10312, 1 , -   , 1 ," 1,567 "," 1,700 ",2004,1,A5,"477,000",20/06/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6220,21, ,A5,29 BARB STREET                           ,            ,10312, 1 , -   , 1 ," 1,485 "," 1,339 ",2004,1,A5,0,06/01/17
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6220,24, ,A5,23 BARB STREET                           ,            ,10312, 1 , -   , 1 ," 2,575 "," 1,339 ",2004,1,A5,"500,000",20/09/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6220,54, ,A5,20 ENDVIEW STREET                        ,            ,10312, 1 , -   , 1 ," 1,648 "," 1,344 ",2003,1,A5,"275,000",01/03/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6226,37, ,A1,770 ANNADALE ROAD                        ,            ,10312, 1 , -   , 1 ," 7,000 "," 1,386 ",1925,1,A1,0,15/07/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6226,93, ,A2,55 JEFFERSON BOULEVARD                   ,            ,10312, 1 , -   , 1 ," 3,402 "," 1,360 ",1930,1,A2,"442,000",07/11/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6226,136, ,A1,941 CARLTON BOULEVARD                    ,            ,10312, 1 , -   , 1 ," 4,785 ", 944 ,1910,1,A1,"405,000",26/10/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6227,10, ,A2,117 JEFFERSON BOULEVARD                  ,            ,10312, 1 , -   , 1 ," 5,000 "," 1,096 ",1965,1,A2,0,17/05/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6227,33, ,A2,146 DETROIT AVENUE                       ,            ,10312, 1 , -   , 1 ," 4,000 "," 1,848 ",1965,1,A2,0,05/04/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6227,37, ,A2,138 DETROIT AVENUE                       ,            ,10312, 1 , -   , 1 ," 4,000 "," 3,537 ",1965,1,A2,0,10/03/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6228,25, ,A0,158 EDGEGROVE AVENUE                     ,            ,10312, 1 , -   , 1 ," 4,000 ", 938 ,1950,1,A0,0,11/05/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6228,27, ,A1,154 EDGEGROVE AVENUE                     ,            ,10312, 1 , -   , 1 ," 8,000 "," 1,915 ",1935,1,A1,0,11/05/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6228,61, ,A2,147 DETROIT AVENUE                       ,            ,10312, 1 , -   , 1 ," 8,000 ", 840 ,1920,1,A2,0,11/05/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6228,61, ,A2,147 DETROIT AVENUE                       ,            ,10312, 1 , -   , 1 ," 8,000 ", 840 ,1920,1,A2,0,06/04/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6230,37, ,A2,624 DRUMGOOLE ROAD EAST                  ,            ,10312, 1 , -   , 1 ," 8,000 ", 832 ,1930,1,A2,"280,000",07/07/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6232,11, ,A1,182 RATHBUN AVENUE                       ,            ,10312, 1 , -   , 1 ," 4,000 "," 1,630 ",1960,1,A1,"522,500",09/05/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6233,64, ,A2,151 RATHBUN AVENUE                       ,            ,10312, 1 , -   , 1 ," 4,000 "," 1,092 ",1960,1,A2,0,12/04/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6234,45, ,A2,578 ARDEN AVENUE                         ,            ,10312, 1 , -   , 1 ," 4,200 "," 1,290 ",1935,1,A2,"490,000",26/09/16
5,ANNADALE                 ,01  ONE FAMILY DWELLINGS                    ,1,6235,27, ,A2,140 SINCLAIR AVENUE                      ,            ,10312, 1 , -   , 1 ," 4,000 "," 1,176 ",1965,1,A2,"400,000",20/12/16
